"Time / s","Vo:Measured voltage"
0,0
0.001,0.36870497782533412
0.002,0.473794585304742
0.0030000000000000001,0.55727198133503963
0.0040000000000000001,0.62083420851178406
0.0050000000000000001,0.66604149182846772
0.0060000000000000001,0.69443875922567033
0.0070000000000000001,0.70757275973922373
0.0080000000000000002,0.70698457584200125
0.0090000000000000011,0.69419720575779165
0.01,0.67070306610785768
0.011000000000000001,1.4934234254933649
0.012,2.4688501891639265
0.013000000000000001,3.5844183166524792
0.014,4.82683322141368
0.015000000000000001,6.1822839791243958
0.016,7.6367010021699491
0.017000000000000001,9.1759746139599585
0.018000000000000002,10.786142517650784
0.019,12.453549155749451
0.02,14.164978989160879
0.021000000000000001,15.907765661990226
0.022000000000000002,17.669879107792102
0.023,19.439992720212381
0.024,21.207532724188326
0.025000000000000001,22.962711845000669
0.026000000000000002,24.696549291117485
0.027,26.40087895329718
0.028000000000000001,28.068347586353923
0.029000000000000001,29.692404589684877
0.030000000000000002,31.267284845138654
0.031,32.787985911757666
0.032000000000000001,34.250240721015487
0.033000000000000002,35.650486766932268
0.034000000000000002,36.985832645475135
0.035000000000000003,38.254022668776514
0.036000000000000004,39.453400163120463
0.037000000000000005,40.582869955887219
0.037999999999999999,41.641860465744081
0.039,42.630285732223797
0.040000000000000001,43.548507654675149
0.041000000000000002,44.397298655719169
0.042000000000000003,45.177804939784906
0.043000000000000003,45.891510481964524
0.044000000000000004,46.540201855170842
0.045000000000000005,47.125933983267259
0.045999999999999999,47.650996893220899
0.047,48.117883529481574
0.048000000000000001,48.529258687372021
0.049000000000000002,48.887929118669156
0.050000000000000003,49.196814860529862
0.051000000000000004,49.458921838019343
0.052000000000000005,49.677315789832555
0.053000000000000005,49.855097565986064
0.053999999999999999,49.995379844792041
0.055,50.101265314032474
0.056000000000000001,50.175826357733492
0.057000000000000002,50.222086285102662
0.058000000000000003,50.24300213224268
0.059000000000000004,50.24144905989786
0.060000000000000005,50.22020636223634
0.061000000000000006,50.181945092375365
0.062,50.12921730041348
0.063,50.06444686930228
0.064000000000000001,49.989921923222568
0.065000000000000002,49.907788772530033
0.066000000000000003,49.82004734888325
0.067000000000000004,49.728548074345056
0.068000000000000005,49.634990099014985
0.069000000000000006,49.540920833323824
0.070000000000000007,49.447736693914067
0.071000000000000008,49.356684975619444
0.072000000000000008,49.268866757174493
0.073000000000000009,49.185240744286787
0.07400000000000001,49.106627951276138
0.074999999999999997,49.033717121061898
0.075999999999999998,48.96707078311703
0.076999999999999999,48.907131849990385
0.078,48.854230655016828
0.079000000000000001,48.808592336714192
0.080000000000000002,48.770344479228285
0.081000000000000003,48.739524922653999
0.082000000000000003,48.716089662123352
0.083000000000000004,48.699920760248055
0.084000000000000005,48.690834203371402
0.085000000000000006,48.688587638326666
0.086000000000000007,48.692887932791422
0.087000000000000008,48.703398508788837
0.088000000000000009,48.719746405169914
0.08900000000000001,48.741529031305824
0.090000000000000011,48.768320580292809
0.090999999999999998,48.799678075827231
0.091999999999999998,48.835147032549621
0.092999999999999999,48.874266714867126
0.094,48.916574984254694
0.095000000000000001,48.961612729528319
0.096000000000000002,49.008927878846514
0.097000000000000003,49.058078995873721
0.098000000000000004,49.108638466043551
0.099000000000000005,49.16019528182688
0.10000000000000001,49.21235743861115
0.10100000000000001,49.264753954975966
0.10200000000000001,49.317036533302904
0.10300000000000001,49.368880878037544
0.10400000000000001,49.419987690449922
0.10500000000000001,49.470083359678938
0.10600000000000001,49.518920370588248
0.10700000000000001,49.566277449546092
0.108,49.611959469583866
0.109,49.655797136324367
0.11,49.697646476183699
0.111,49.737388147988817
0.112,49.774926598765823
0.113,49.810189084001721
0.114,49.843124571954931
0.115,49.873702550961724
0.11600000000000001,49.901911757752238
0.11700000000000001,49.927758844010008
0.11800000000000001,49.951266997444357
0.11900000000000001,49.972474532593516
0.12000000000000001,49.991433465638309
0.12100000000000001,50.00820808639844
0.12200000000000001,50.022873539676013
0.12300000000000001,50.03551442697804
0.124,50.046223438646578
0.125,50.055100025334056
0.126,50.062249116666074
0.127,50.06777989406465
0.128,50.071804623532138
0.129,50.074437553322568
0.13,50.075793880575098
0.13100000000000001,50.075988789879339
0.13200000000000001,50.075136566210929
0.13300000000000001,50.07334978353439
0.13400000000000001,50.070738570023387
0.13500000000000001,50.067409949764098
0.13600000000000001,50.063467260406838
0.13700000000000001,50.05900964572276
0.13800000000000001,50.05413162119374
0.13900000000000001,50.048922710533063
0.14000000000000001,50.043467150640225
0.14100000000000001,50.037843661933152
0.14200000000000002,50.032125280829483
0.14300000000000002,50.026379250930532
0.14400000000000002,50.020666969083848
0.14500000000000002,50.01504398251987
0.14600000000000002,50.009560033023511
0.14700000000000002,50.004259144065422
0.14800000000000002,49.999179746789601
0.14899999999999999,49.99435484078532
0.14999999999999999,49.989812185474534
